period,periodTime,periodTimeRemaining,awayPlayer0Id,awayPlayer1Id,awayPlayer2Id,awayPlayer3Id,awayPlayer4Id,awayPlayer5Id,homePlayer0Id,homePlayer1Id,homePlayer2Id,homePlayer3Id,homePlayer4Id,homePlayer5Id,event,eventType,eventResult,eventTeam,eventId,x0,y0,x1,y1,player0Id,player1Id,pass0x0,pass0y0,pass0x1,pass0y1,pass0result,pass0team,pass0player0Id,pass0player1Id,pass1x0,pass1y0,pass1x1,pass1y1,pass1result,pass1team,pass1player0Id,pass1player1Id,pass2x0,pass2y0,pass2x1,pass2y1,pass2result,pass2team,pass2player0Id,pass2player1Id,pass3x0,pass3y0,pass3x1,pass3y1,pass3result,pass3team,pass3player0Id,pass3player1Id,pass4x0,pass4y0,pass4x1,pass4y1,pass4result,pass4team,pass4player0Id,pass4player1Id,tags,linkedEvents
1,0:17,19:43,8478443,8471418,8470638,8476792,8473419,8477956,8468493,8477939,8475883,8475172,8476853,8473463,Zone Entry,Uncontrolled,Lost,BOS,2017020243_281856106_shawn.ferris@wne.edu,23,40,,,8476792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0:26,19:34,8478443,8471418,8470638,8476792,8473419,8477956,8468493,8477939,8475883,8475172,8476853,8473463,Zone Exit,Uncontrolled,Lost,TOR,2017020243_989668160_shawn.ferris@wne.edu,97,-14,,,8476853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0:37,19:23,8478443,8471418,8470638,8476792,8478569,8473419,8479458,8477939,8475883,8475172,8473463,8474581,Zone Entry,Uncontrolled,Lost,BOS,2017020243_897757744_shawn.ferris@wne.edu,19,0,,,8470638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0:43,19:17,8474062,8465009,8471418,8478569,8477213,8479325,8478483,8479458,8474037,8475883,8475098,8474581,Zone Exit,Uncontrolled,Lost,TOR,2017020243_174921679_shawn.ferris@wne.edu,66,40,,,8479458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0:52,19:08,8474062,8465009,8471418,8478569,8477213,8479325,8478483,8479458,8474037,8475883,8475098,8474581,Zone Exit,Failed,,BOS,2017020243_789772087_shawn.ferris@wne.edu,-97,11,,,8465009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0:54,19:06,8474062,8465009,8471418,8478569,8477213,8479325,8478483,8479458,8474037,8475883,8475098,8474581,Blocked Shot,,,BOS,2017020243_6,-71,13,,,8474062,8479458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0:56,19:04,8474062,8465009,8471418,8478569,8477213,8479325,8478483,8479458,8474037,8475883,8475098,8474581,Zone Exit,Pass,,BOS,2017020243_187144107_shawn.ferris@wne.edu,-31,-9,-16,17,8474062,8477213,-46,2,-33,-8,Completed,BOS,8478569,8474062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0:58,19:02,8474062,8465009,8471418,8478569,8477213,8479325,8478483,8479458,8474037,8475883,8475098,8474581,Zone Entry,Uncontrolled,Lost,BOS,2017020243_538233663_shawn.ferris@wne.edu,9,39,,,8477213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017020243_187144107_shawn.ferris@wne.edu
1,1:07,18:53,8474062,8465009,8471418,8478569,8477213,8479325,8478483,8479458,8474037,8475883,8475098,8474581,Zone Exit,Uncontrolled,Recovered,TOR,2017020243_541859827_shawn.ferris@wne.edu,33,40,,,8478483,8474037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1:10,18:50,8474062,8465009,8471418,8478569,8477213,8479325,8478483,8479458,8474037,8475883,8475098,8474581,Zone Entry,Uncontrolled,Recovered,TOR,2017020243_343955498_shawn.ferris@wne.edu,-23,-40,,,8474037,8474037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017020243_541859827_shawn.ferris@wne.edu
